query_wo_tones,query,impressions,position,gg_impressions,gg_position,api_result,pv_result,pv,gg,count
asus h110m-d,asus h110m-d,195.8090665,,570.0,3.335087719,458.0,0.0,0,1,1
ddr3 1600,ddr3 1600,202.0,1.0,86.0,2.5,30.0,36.0,1,1,1
epson l1300,epson l1300,191.3432457,,557.0,5.057450628,1.0,1.0,0,1,1
intel pentium g4600,intel pentium g4600,166.2659442,,484.0,3.423553719,1.0,0.0,0,1,1
j250f,j250f,220.1993186,,641.0,3.653666147,1.0,3.0,0,1,1
logitech mk240,logitech mk240,283.7513841,,826.0,5.290556901,3.0,2.0,0,1,1
man hinh dell u2414h,màn hình dell u2414h,312.607457,,910.0,1.051013895,1.0,38.0,0,1,1
may in canon 2900,máy in canon 2900,766.060032,1.0,33819.0,4.967219117,290.0,17.0,1,1,2
sdd,sdd,196.0,1.0,,,4.0,0.0,1,0,1
ssd 120gb kingston,ssd 120gb kingston,8682.0,1.0,1568.0,1.511479592,4.0,5.0,1,1,1
tai nghe bluetooth plantronics,tai nghe bluetooth plantronics,353.143369,,1028.0,7.323929961,8.0,82.0,0,1,1
tay cam game pad,tay cam game pad,1404.328884,,4088.0,1.140528006,466.0,0.0,0,1,1
220s,220s,417.0,1.0,,,3.0,7.0,1,0,1
asus fx504gd,asus fx504gd,400.2062499,,1165.0,3.596566524,2.0,3.0,0,1,1
bo may tinh de ban,bộ máy tính để bàn,93.0,1.0,2943.0,2.956846755,24.0,285.0,1,1,1
cap noi dai usb,cáp nối dài usb,197.5266899,,575.0,2.648695652,7.0,9.0,0,1,1
case cooler master,case cooler master,268.9798229,,783.0,5.947637292,13.0,0.0,0,1,1
case sama dark shadow,case sama dark shadow,61.0,1.0,520.0,1.175,1.0,1.0,1,1,1
ddr4 laptop,ddr4 laptop,151.0,1.0,67.0,2.164179104,15.0,25.0,1,1,1
dell inspiron 7460,dell inspiron 7460,133.0,1.0,814.0,6.582309582,263.0,0.0,1,1,1
dell precision phongvu,dell precision phongvu,190.999721,,556.0,1.005395683,421.0,0.0,0,1,1
gia o cung ssd cho laptop,giá ổ cứng ssd cho laptop,159.0519259,,463.0,1.360691145,236.0,0.0,0,1,1
gt 730 2gb ddr5,gt 730 2gb ddr5,214.3593991,,624.0,7.501602564,189.0,0.0,0,1,1
hdd 2tb,hdd 2tb,398.0,1.0,967.0,1.264736298,57.0,43.0,1,1,1
hdd 4tb,hdd 4tb,167.0,1.0,516.0,1.505813953,27.0,21.0,1,1,1
i7 7700,i7 7700,1098.0,1.0,6908.0,3.240011581,8.0,19.0,1,1,1
man hinh may tinh 24 inch,màn hình máy tính 24 inch,419.1001072,,1220.0,1.230327869,1476.0,0.0,0,1,1
may ep plastic,Máy ép Plastic,172.0,1.0,,,5.0,6.0,1,0,1
o cung ssd 120gb,ổ cứng ssd 120gb,1067.331175,,3107.0,1.037799475,16.0,0.0,0,1,1
tai nghe logitech,tai nghe logitech,744.0,1.0,4361.0,1.908277918,13.0,15.0,1,1,1
thinkpad e480,thinkpad e480,196.4961158,,572.0,5.777972028,1.0,1.0,0,1,1
2700,2700,348.0,1.0,,,4.0,5.0,1,0,1
3200,3200,215.0,1.0,,,18.0,9.0,1,0,1
amp,AMP,421.0,1.0,,,12.0,7.0,1,0,1
b350m,b350m,379.0,1.0,,,2.0,4.0,1,0,1
ban phim laptop asus,ban phim laptop asus,302.3017167,,880.0,7.9875,994.0,0.0,0,1,1
bo chia,Bộ chia,242.0,1.0,,,31.0,33.0,1,0,1
cable,cable,800.0,1.0,,,226.0,9.0,1,0,1
ddr2,ddr2,426.0,1.0,,,1.0,1.0,1,0,1
fax,fax,159.0,1.0,2561.0,4.888715346,15.0,13.0,1,1,1
hub,Hub,1596.0,1.0,,,44.0,34.0,1,0,1
i5 7500,i5 7500,600.0,1.0,3946.0,3.224024328,6.0,9.0,1,1,1
keyboard,keyboard,564.0,1.0,,,2.0,2.0,1,0,1
laptop dell i7,laptop dell i7,255.0,1.0,465.0,7.28172043,3.0,8.0,1,1,1
lg 27mp59g,lg 27mp59g,417.0389591,,1214.0,2.435749588,1.0,1.0,0,1,1
logitech g502,logitech g502,356.0,1.0,12173.0,1.739587612,2.0,1.0,1,1,1
ram 2133,ram 2133,167.0,1.0,37.0,1.891891892,14.0,27.0,1,1,1
asus a411ua-bv445t,asus a411ua-bv445t,162.4871727,,473.0,2.365750529,1.0,1.0,0,1,1
chuot khong day,chuột không dây,5857.0,1.0,31824.0,3.684044197,17.0,18.0,1,1,1
chuot logitech g502,chuột logitech g502,1069.735847,,3114.0,1.264011122,2.0,1.0,0,1,1
cpu,cpu,13454.0,1.0,38327.0,1.66938417275,2677.0,91.0,1,1,6
dell 3468,dell 3468,448.0,1.0,1137.0,4.048372911,7.0,8.0,1,1,1
dell vostro 3670,dell vostro 3670,55.0,1.0,526.0,7.330798479,14.0,15.0,1,1,1
hyperx cloud stinger,hyperx cloud stinger,110.0,1.0,1645.0,5.553191489,1.0,1.0,1,1,1
mainboard gigabyte h81m-ds2,mainboard gigabyte h81m-ds2,204.0536588,,594.0,2.387205387,1.0,2.0,0,1,1
may fax,máy fax,326.0,1.0,2593.0,3.798287564,10.0,2.0,1,1,1
tri,tri,147.0,1.0,,,33.0,55.0,1,0,1
320s,320s,222.0,1.0,,,3.0,3.0,1,0,1
